Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College,Merge Name,Team,Year
LB,Chris Board,49,66,#127 LB,"6'1""",230,24,7/22/95,2nd season,2018,,,North Dakota State,C.Board,Baltimore Ravens,2018
LB,Bam Bradley,53,65,#85 LB,"6'0""",198,23,12/10/96,1st season,2020,,,PIttsburgh,B.Bradley,Baltimore Ravens,2018
CB,Jimmy Smith,22,89,#19 CB,"6'2""",205,31,7/25/88,9th season,2011,1,27,Colorado,J.Smith,Baltimore Ravens,2018
CB,Marcus Peters,24,87,#33 CB,"6'0""",197,27,1/8/93,5th season,2015,1,18,Washington,M.Peters,Baltimore Ravens,2018
CB,Marlon Humphrey,44,80,#16 CB,"6'0""",197,23,7/7/96,3rd season,2017,1,16,Alabama,M.Humphrey,Baltimore Ravens,2018
CB,Brandon Carr,24,80,#32 CB,"6'0""",210,34,5/19/86,12th season,2008,5,140,Grand Valley State,B.Carr,Baltimore Ravens,2018
CB,Tavon Young,25,79,#77 CB,"5'9""",183,26,3/13/94,4th season,2016,4,104,Temple,T.Young,Baltimore Ravens,2018
CB,Iman Marshall,37,73,#110 CB,"6'1""",207,23,2/26/97,1st season,2019,4,127,USC,I.Marshall,Baltimore Ravens,2018
CB,Anthony Averett,34,70,#159 CB,"5'11""",183,25,11/29/94,2nd season,2018,4,118,Alabama,A.Averett,Baltimore Ravens,2018
CB,Brandon Boykin,35,70,,"5'9""",182,29,7/13/90,4th season,2012,4,123,Georgia,B.Boykin,Baltimore Ravens,2018
SS,Tony Jefferson,23,84,#9 SS,"5'11""",213,28,1/27/92,6th season,2013,,,Oklahoma,T.Jefferson,Baltimore Ravens,2018
SS,Anthony Levine,41,78,#24 SS,"5'11""",203,33,3/26/87,8th season,2010,,,Tennessee State,A.Levine,Baltimore Ravens,2018
SS,Chuck Clark,36,65,#72 SS,"6'0""",208,25,4/18/95,3rd season,2017,6,186,Virginia Tech,C.Clark,Baltimore Ravens,2018
FS,Earl Thomas,29,97,#1 FS,"5'10""",202,31,5/6/89,10th season,2010,1,14,Texas,E.Thomas,Baltimore Ravens,2018
FS,Jordan Richards,28,69,,"5'11""",211,27,1/20/93,5th season,2015,2,64,Stanford,J.Richards,Baltimore Ravens,2018
FS,Deshon Elliott,32,67,#59 FS,"6'1""",210,23,4/20/97,2nd season,2018,6,190,Texas,D.Elliott,Baltimore Ravens,2018
FS,Brynden Trawick,31,66,#55 FS,"6'2""",215,30,10/23/89,7th season,2013,,,Troy,B.Trawick,Baltimore Ravens,2018
LS,Morgan Cox,46,41,#19 LS,"6'4""",241,34,4/25/86,10th season,2010,,,Tennessee,M.Cox,Baltimore Ravens,2018
K,Justin Tucker,9,86,#3 K,"6'0""",180,30,11/20/89,8th season,2012,,,Texas,J.Tucker,Baltimore Ravens,2018
P,Sam Koch,4,84,#1 P,"6'1""",218,37,8/12/82,14th season,2006,6,203,Nebraska,S.Koch,Baltimore Ravens,2018
QB,Joe Flacco,5,81,#23 QB,"6'6""",245,35,1/16/85,11th season,2008,1,18,Delaware,J.Flacco,Baltimore Ravens,2017
QB,Lamar Jackson,8,78,#30 QB,"6'2""",216,23,1/6/97,1st season,2018,1,32,Louisville,L.Jackson,Baltimore Ravens,2017
QB,Robert Griffin III,3,76,#36 QB,"6'2""",223,30,2/11/90,6th season,2012,1,2,Baylor,R.Griffin,Baltimore Ravens,2017
RB,Ty Montgomery,88,83,#50 RB,"6'0""",221,27,1/22/93,4th season,2015,3,94,Stanford,T.Montgomery,Baltimore Ravens,2017
RB,Kenneth Dixon,30,76,#63 RB,"5'10""",215,26,1/20/94,2nd season,2016,4,134,Louisiana Tech,K.Dixon,Baltimore Ravens,2017
RB,Gus Edwards,35,73,#128 RB,"6'1""",235,25,4/12/95,1st season,2018,,,Rutgers,G.Edwards,Baltimore Ravens,2017
RB,Javorius Allen,37,72,#92 RB,"6'0""",221,28,8/27/91,4th season,2015,4,125,Southern California,J.Allen,Baltimore Ravens,2017
RB,De'Lance Turner,47,69,#107 RB,"6'1""",214,24,8/22/95,1st season,2018,,,Alcorn State,D.Turner,Baltimore Ravens,2017
RB,Alex Collins,34,67,#27 RB,"5'10""",217,25,8/26/94,2nd season,2016,5,171,Arkansas,A.Collins,Baltimore Ravens,2017
FB,Patrick Ricard,42,80,#5 FB,"6'4""",280,26,5/26/94,2nd season,2017,,,Maine,P.Ricard,Baltimore Ravens,2017
WR,Michael Crabtree,15,85,#46 WR,"6'1""",214,32,9/14/87,9th season,2009,1,10,Texas Tech,M.Crabtree,Baltimore Ravens,2017
WR,John Brown,13,84,#90 WR,"5'10""",179,30,4/2/90,5th season,2014,3,91,Pittsburg State,J.Brown,Baltimore Ravens,2017
WR,Willie Snead,83,81,#81 WR,"5'11""",195,27,10/16/92,4th season,2014,,,Ball State,W.Snead,Baltimore Ravens,2017
WR,Jordan Lasley,17,67,#212 WR,"6'1""",203,23,11/13/96,Rookie,2018,5,162,,J.Lasley,Baltimore Ravens,2017
WR,Janarion Grant,84,66,#202 WR,"5'10""",170,26,11/20/93,-1th season,2018,,,Rutgers,J.Grant,Baltimore Ravens,2017
WR,Chris Moore,10,65,#238 WR,"6'1""",206,27,6/15/93,3rd season,2016,4,107,Cincinnati,C.Moore,Baltimore Ravens,2017
WR,CJ Board,16,65,#228 WR,"6'2""",174,26,12/11/93,Rookie,2017,,,Tennessee-Chattanooga,C.Board,Baltimore Ravens,2017
WR,Tim White,6,57,#154 WR,"5'10""",172,25,7/14/94,Rookie,2017,,,Arizona State,T.White,Baltimore Ravens,2017
TE,Hayden Hurst,81,80,#25 TE,"6'4""",250,26,8/23/93,1st season,2018,1,25,South Carolina,H.Hurst,Baltimore Ravens,2017
TE,Mark Andrews,89,80,#65 TE,"6'5""",256,24,9/5/95,1st season,2018,3,86,Oklahoma,M.Andrews,Baltimore Ravens,2017
TE,Maxx Williams,87,76,#45 TE,"6'4""",249,26,4/11/94,4th season,2015,2,55,Minnesota,M.Williams,Baltimore Ravens,2017
TE,Nick Boyle,86,75,#58 TE,"6'4""",268,27,2/16/93,4th season,2015,5,171,Delaware,N.Boyle,Baltimore Ravens,2017
TE,James Hurst,74,69,#48 TE,"6'5""",296,28,12/17/91,5th season,2014,,,North Carolina,J.Hurst,Baltimore Ravens,2017
C,Matt Skura,68,75,#31 C,"6'3""",305,27,2/16/93,1st season,2016,,,Duke,M.Skura,Baltimore Ravens,2017
C,Alex Lewis,72,70,#24 C,"6'6""",312,28,4/20/92,3rd season,2016,4,130,Nebraska,A.Lewis,Baltimore Ravens,2017
C,Alex Thompson,61,67,#45 C,"6'4""",285,24,7/7/95,-1th season,2018,,,,A.Thompson,Baltimore Ravens,2017
OG,Marshal Yanda,73,96,#5 OG,"6'4""",315,35,9/15/84,12th season,2007,3,86,Iowa,M.Yanda,Baltimore Ravens,2017
OG,Bradley Bozeman,77,65,#111 OG,"6'5""",319,25,11/23/94,1st season,2018,6,215,Alabama,B.Bozeman,Baltimore Ravens,2017
OT,Ronnie Stanley,79,80,#35 OT,"6'6""",312,26,3/17/94,3rd season,2016,1,6,Notre Dame,R.Stanley,Baltimore Ravens,2017
OT,Orlando Brown,78,77,#39 OT,"6'8""",345,24,5/1/96,1st season,2018,3,83,Oklahoma,O.Brown,Baltimore Ravens,2017
OT,Jermaine Eluemunor,71,68,#120 OT,"6'4""",332,25,12/12/94,2nd season,2017,5,159,Texas A&M,J.Eluemunor,Baltimore Ravens,2017
OT,Steven Moore,62,63,#114 OT,"6'6""",310,26,9/28/93,-1th season,2017,,,California,S.Moore,Baltimore Ravens,2017
NT,Brandon Williams,98,82,#4 NT,"6'1""",335,31,2/20/89,6th season,2013,3,94,Missouri Southern State,B.Williams,Baltimore Ravens,2017
NT,Michael Pierce,97,79,#3 NT,"6'0""",329,27,11/5/92,3rd season,2016,,,Samford,M.Pierce,Baltimore Ravens,2017
DT,Chris Wormley,93,72,#50 DT,"6'5""",297,26,10/24/93,2nd season,2017,3,74,Michigan,C.Wormley,Baltimore Ravens,2017
DT,Willie Henry,69,66,#29 DT,"6'3""",303,26,3/19/94,1st season,2016,4,132,Michigan,W.Henry,Baltimore Ravens,2017
DE,Brent Urban,96,69,#89 DE,"6'7""",295,29,5/4/91,5th season,2014,4,134,Virginia,B.Urban,Baltimore Ravens,2017
DE,Zach Sieler,95,66,#144 DE,"6'5""",290,24,9/6/95,1st season,2018,7,238,Ferris State,Z.Sieler,Baltimore Ravens,2017
LB,CJ Mosley,57,89,#5 LB,"6'2""",234,28,6/18/92,4th season,2014,1,17,Alabama,C.Mosley,Baltimore Ravens,2017
LB,Terrell Suggs,55,86,#11 LB,"6'3""",260,37,10/11/82,16th season,2003,1,10,Arizona State,T.Suggs,Baltimore Ravens,2017
LB,Matt Judon,99,80,#21 LB,"6'3""",275,27,8/14/92,3rd season,2016,5,146,Grand Valley State,M.Judon,Baltimore Ravens,2017
LB,Kenny Young,40,72,#108 LB,"6'1""",236,25,11/14/94,1st season,2018,4,122,UCLA,K.Young,Baltimore Ravens,2017
LB,Tim Williams,56,71,#55 LB,"6'3""",244,26,11/11/93,2nd season,2017,3,78,Alabama,T.Williams,Baltimore Ravens,2017
LB,Za'Darius Smith,90,71,#60 LB,"6'4""",274,27,9/7/92,4th season,2015,4,122,Kentucky,Z.Smith,Baltimore Ravens,2017
LB,Tyus Bowser,54,71,#73 LB,"6'2""",244,25,5/22/95,2nd season,2017,2,47,Houston,T.Bowser,Baltimore Ravens,2017
LB,Chris Board,49,66,#76 LB,"6'1""",230,24,7/22/95,1st season,2018,,,North Dakota State,C.Board,Baltimore Ravens,2017
LB,Patrick Onwuasor,48,60,#74 LB,"6'0""",225,27,8/21/92,3rd season,2016,,,Portland State,P.Onwuasor,Baltimore Ravens,2017
CB,Jimmy Smith,22,86,#13 CB,"6'2""",205,31,7/25/88,8th season,2011,1,27,Colorado,J.Smith,Baltimore Ravens,2017
CB,Tavon Young,25,80,#76 CB,"5'9""",183,26,3/13/94,3rd season,2016,4,104,Temple,T.Young,Baltimore Ravens,2017
CB,Brandon Carr,24,79,#32 CB,"6'0""",210,34,5/19/86,11th season,2008,5,140,Grand Valley State,B.Carr,Baltimore Ravens,2017
CB,Marlon Humphrey,29,75,#35 CB,"6'0""",197,23,7/7/96,2nd season,2017,1,16,Alabama,M.Humphrey,Baltimore Ravens,2017
CB,Cyrus Jones,27,69,#166 CB,"5'10""",197,26,11/29/93,2nd season,2016,2,60,Alabama,C.Jones,Baltimore Ravens,2017
CB,Anthony Averett,28,68,#150 CB,"5'11""",183,25,11/29/94,1st season,2018,4,118,Alabama,A.Averett,Baltimore Ravens,2017
CB,Maurice Canady,26,64,#103 CB,"6'1""",193,26,5/25/94,3rd season,2016,6,209,Virginia,M.Canady,Baltimore Ravens,2017
SS,Tony Jefferson,23,88,#17 SS,"5'11""",213,28,1/27/92,5th season,2013,,,Oklahoma,T.Jefferson,Baltimore Ravens,2017
SS,Anthony Levine,41,70,#21 SS,"5'11""",203,33,3/26/87,7th season,2010,,,Tennessee State,A.Levine,Baltimore Ravens,2017
FS,Eric Weddle,32,93,#10 FS,"5'11""",200,35,1/4/85,12th season,2007,2,37,Utah,E.Weddle,Baltimore Ravens,2017
FS,Chuck Clark,36,65,#87 FS,"6'0""",208,25,4/18/95,2nd season,2017,6,186,Virginia Tech,C.Clark,Baltimore Ravens,2017
LS,Morgan Cox,46,40,#18 LS,"6'4""",241,34,4/25/86,9th season,2010,,,Tennessee,M.Cox,Baltimore Ravens,2017
K,Justin Tucker,9,87,#4 K,"6'0""",180,30,11/20/89,7th season,2012,,,Texas,J.Tucker,Baltimore Ravens,2017
P,Sam Koch,4,84,#4 P,"6'1""",218,37,8/12/82,13th season,2006,6,203,Nebraska,S.Koch,Baltimore Ravens,2017
QB,Josh Allen,17,79,#22 QB,"6'5""",237,24,5/21/96,3,2018,1,7,Wyoming,J.Allen,Buffalo Bills,2020
QB,Davis Webb,7,75,#32 QB,"6'5""",229,25,1/21/95,3,2017,3,87,California,D.Webb,Buffalo Bills,2020
QB,Jake Fromm,10,67,#120 QB,"6'2""",219,21,7/29/98,0,2020,5,167,Georgia,J.Fromm,Buffalo Bills,2020
QB,Matt Barkley,5,67,#120 QB,"6'2""",227,29,9/7/90,8,2013,4,98,USC,M.Barkley,Buffalo Bills,2020
RB,Devin Singletary,26,81,#44 RB,"5'7""",203,22,9/2/97,2,2019,3,74,Florida Atlantic,D.Singletary,Buffalo Bills,2020
RB,TJ Yeldon,22,77,#73 RB,"6'1""",226,26,10/1/93,6,2015,2,36,Alabama,T.Yeldon,Buffalo Bills,2020
RB,Taiwan Jones,34,71,#170 RB,"6'0""",194,31,7/25/88,10,2011,4,125,Eastern Washington,T.Jones,Buffalo Bills,2020
RB,Christian Wade,45,68,#257 RB,"5'8""",190,29,5/14/91,1,2019,,,No College,C.Wade,Buffalo Bills,2020
RB,Zack Moss,20,67,#304 RB,"5'9""",223,22,12/14/97,0,2020,3,86,Utah,Z.Moss,Buffalo Bills,2020
RB,Reggie Gilliam,41,67,#304 RB,"6'1""",255,,,0,2020,,,Toledo,R.Gilliam,Buffalo Bills,2020
RB,Antonio Williams,35,67,#304 RB,5'10'',215,,,0,2020,,,North Carolina,A.Williams,Buffalo Bills,2020
FB,Patrick DiMarco,42,70,#22 FB,"6'1""",240,31,3/25/89,9,2011,,,South Carolina,P.DiMarco,Buffalo Bills,2020
WR,Stefon Diggs,14,90,#11 WR,"6'0""",195,26,11/28/93,6,2015,5,146,Maryland,S.Diggs,Buffalo Bills,2020
WR,Cole Beasley,10,81,#57 WR,"5'8""",177,31,4/25/89,9,2012,,,Southern Methodist,C.Beasley,Buffalo Bills,2020
WR,John Brown,15,81,#57 WR,"5'10""",179,30,4/2/90,7,2014,3,91,Pittsburg State,J.Brown,Buffalo Bills,2020
WR,Nick Easley,86,74,#160 WR,"5'11""",206,23,1/13/97,1,2019,,,Iowa,N.Easley,Buffalo Bills,2020
WR,Duke Williams,82,74,#160 WR,"6'2""",224,28,5/12/92,2,2016,,,Auburn,D.Williams,Buffalo Bills,2020
WR,Robert Foster,16,72,#229 WR,"6'2""",196,26,5/6/94,3,2018,,,Alabama,R.Foster,Buffalo Bills,2020
WR,Andre Roberts,18,70,#285 WR,"5'11""",195,32,1/8/88,11,2010,3,88,The Citadel,A.Roberts,Buffalo Bills,2020
WR,Isaiah McKenzie,19,69,#309 WR,"5'7""",173,25,4/8/95,4,2017,5,172,Georgia,I.McKenzie,Buffalo Bills,2020
WR,Gabriel Davis,3,67,#556 WR,"6'2""",216,21,3/31/99,0,2020,4,128,UCF,G.Davis,Buffalo Bills,2020
WR,Isaiah Hodgins,87,67,#556 WR,"6'4""",210,21,10/20/98,0,2020,6,207,Oregon State,I.Hodgins,Buffalo Bills,2020
WR,Ray-Ray McCloud,14,67,#556 WR,"5'9""",190,23,10/14/96,3,2018,6,187,Clemson,R.McCloud,Buffalo Bills,2020
TE,Lee Smith,85,79,#35 TE,"6'6""",269,32,11/20/87,10,2011,5,159,Marshall,L.Smith,Buffalo Bills,2020
TE,Dawson Knox,88,77,#57 TE,"6'4""",254,23,11/13/96,2,2019,3,96,Mississippi,D.Knox,Buffalo Bills,2020
TE,Jason Croom,80,75,#80 TE,"6'5""",246,26,2/27/94,3,2017,,,Tennessee,J.Croom,Buffalo Bills,2020
TE,Tommy Sweeney,89,73,#108 TE,"6'4""",251,24,6/30/95,2,2019,7,228,Boston College,T.Sweeney,Buffalo Bills,2020
TE,Tyler Kroft,81,72,#131 TE,"6'5""",246,27,10/14/92,6,2015,3,85,Rutgers,T.Kroft,Buffalo Bills,2020
TE,Nate Becker,84,71,#145 TE,"6'5""",264,24,3/23/96,1,2019,,,Miami (Ohio),N.Becker,Buffalo Bills,2020
C,Evan Boehm,76,67,#91 C,"6'2""",302,26,8/18/93,5,2016,4,128,Missouri,E.Boehm,Buffalo Bills,2020
OG,Dion Dawkins,73,80,#25 OG,"6'4""",317,26,4/25/94,4,2017,2,63,Temple,D.Dawkins,Buffalo Bills,2020
OG,Jon Feliciano,76,77,#32 OG,"6'4""",323,28,2/9/92,6,2015,4,128,Miami (Fla.),J.Feliciano,Buffalo Bills,2020
OG,Quinton Spain,67,76,#37 OG,"6'4""",334,28,8/6/91,6,2015,,,West Virginia,Q.Spain,Buffalo Bills,2020
OG,Cody Ford,70,75,#42 OG,"6'4""",329,23,12/27/96,2,2019,2,38,Oklahoma,C.Ford,Buffalo Bills,2020
OG,Ryan Bates,71,68,#93 OG,"6'4""",306,23,2/13/97,2,2019,,,Penn State,R.Bates,Buffalo Bills,2020
OG,Marquel Harrell,68,67,#112 OG,"6'3""",309,,,0,2020,,,Auburn,M.Harrell,Buffalo Bills,2020
OG,Brandon Walton,79,67,#112 OG,6'4'',310,22,3/17/98,0,2020,,,Florida Atlantic,B.Walton,Buffalo Bills,2020
OG,Garrett McGhin,76,67,#112 OG,"6'6""",313,25,10/12/94,0,2019,,,East Carolina,G.McGhin,Buffalo Bills,2020
OG,Spencer Long,61,67,#112 OG,"6'5""",320,29,11/7/90,7,2014,3,78,Nebraska,S.Long,Buffalo Bills,2020
OT,Mitch Morse,60,85,#18 OT,"6'5""",305,28,4/20/92,6,2015,2,49,Missouri,M.Morse,Buffalo Bills,2020
OT,Ty Nsekhe,77,75,#59 OT,"6'8""",325,34,10/26/85,6,2012,,,Texas State,T.Nsekhe,Buffalo Bills,2020
OT,Daryl Williams,60,70,#127 OT,"6'5""",327,27,8/30/92,6,2015,4,102,Oklahoma,D.Williams,Buffalo Bills,2020
OT,Ike Boettger,65,68,#177 OT,"6'6""",307,25,10/4/94,3,2018,,,Iowa,I.Boettger,Buffalo Bills,2020
OT,Victor Salako,62,67,#226 OT,"6'5""",327,26,11/3/93,1,2017,,,Oklahoma State,V.Salako,Buffalo Bills,2020
OT,Trey Adams,,67,#226 OT,6'8'',318,,,0,2020,,,Washington,T.Adams,Buffalo Bills,2020
NT,Star Lotulelei,98,77,#10 NT,"6'2""",311,30,12/19/89,8,2013,1,14,Utah,S.Lotulelei,Buffalo Bills,2020
DT,Ed Oliver,91,78,#34 DT,"6'2""",287,22,12/11/97,2,2019,1,9,Houston,E.Oliver,Buffalo Bills,2020
DT,Harrison Phillips,99,74,#81 DT,"6'3""",307,24,1/24/96,3,2018,3,96,Stanford,H.Phillips,Buffalo Bills,2020
DT,Vernon Butler,92,73,#95 DT,"6'4""",323,26,6/13/94,5,2016,1,30,Louisiana Tech,V.Butler,Buffalo Bills,2020
DT,Vincent Taylor,96,72,#112 DT,"6'3""",304,26,1/4/94,4,2017,6,194,Oklahoma State,V.Taylor,Buffalo Bills,2020
DT,Quinton Jefferson,99,71,#134 DT,"6'4""",291,27,3/30/93,5,2016,5,147,Maryland,Q.Jefferson,Buffalo Bills,2020
DE,Darryl Johnson Jr.,92,76,#65 DE,"6'6""",253,23,4/3/97,2,2019,7,225,North Carolina A&T,D.Johnson,Buffalo Bills,2020
DE,Mario Addison,97,75,#78 DE,"6'3""",254,32,9/5/87,10,2011,,,Troy,M.Addison,Buffalo Bills,2020
DE,Bryan Cox Jr,94,69,#177 DE,"6'3""",265,25,6/24/94,4,2017,,,Florida,B.Cox,Buffalo Bills,2020
DE,A.J. Epenesa,57,67,#271 DE,"6'5""",275,21,9/14/98,0,2020,2,54,Iowa,A.Epenesa,Buffalo Bills,2020
DE,Mike Love,56,67,#271 DE,"6'3""",265,26,1/21/94,2,2018,,,South Florida,M.Love,Buffalo Bills,2020
DE,Jonathan Woodard,59,67,#271 DE,"6'5""",266,26,9/18/93,3,2016,7,226,Central Arkansas,J.Woodard,Buffalo Bills,2020
LB,Matt Milano,58,82,#40 LB,"6'0""",216,25,3/16/95,4,2017,5,163,Boston College,M.Milano,Buffalo Bills,2020
LB,Tremaine Edmunds,49,82,#40 LB,"6'4""",253,22,5/1/98,3,2018,1,16,Virginia Tech,T.Edmunds,Buffalo Bills,2020
LB,Trent Murphy,93,82,#40 LB,"6'5""",250,29,12/21/90,7,2014,2,47,Stanford,T.Murphy,Buffalo Bills,2020
LB,Jerry Hughes,55,79,#64 LB,"6'2""",255,31,8/12/88,11,2010,1,31,Texas Christian,J.Hughes,Buffalo Bills,2020
LB,Tyrel Dodson,53,71,#228 LB,"6'0""",237,21,6/24/98,1,2019,,,Texas A&M,T.Dodson,Buffalo Bills,2020
LB,Del'shawn Phillips,43,71,#228 LB,"6'2""",229,23,10/8/96,1,2019,,,Illinois,D.Phillips,Buffalo Bills,2020
LB,Vosean Joseph,50,71,#228 LB,"6'1""",230,22,12/14/97,2,2019,5,147,Florida,V.Joseph,Buffalo Bills,2020
LB,AJ Klein,53,70,#266 LB,"6'1""",250,28,7/29/91,8,2013,5,148,Iowa State,A.Klein,Buffalo Bills,2020
LB,Corey Thompson,52,67,#478 LB,"6'1""",224,26,12/22/93,3,2018,,,Louisiana State University - Shreveport,C.Thompson,Buffalo Bills,2020
LB,Tyler Matakevich,44,67,#478 LB,"6'0""",238,27,12/21/92,5,2016,7,246,Temple,T.Matakevich,Buffalo Bills,2020
CB,Micah Hyde,23,89,#8 CB,"6'0""",197,29,12/30/90,8,2013,5,159,Iowa,M.Hyde,Buffalo Bills,2020
CB,Tre'Davious White,27,87,#15 CB,"5'11""",191,25,1/15/95,4,2017,1,27,LSU,T.White,Buffalo Bills,2020
CB,Jordan Poyer,21,83,#34 CB,"6'0""",191,29,4/24/91,8,2013,7,218,Oregon State,J.Poyer,Buffalo Bills,2020
CB,Levi Wallace,39,81,#43 CB,"6'0""",179,25,6/11/95,3,2018,,,Alabama,L.Wallace,Buffalo Bills,2020
CB,Taron Johnson,24,77,#71 CB,"5'11""",192,23,7/26/96,3,2018,4,121,Weber State,T.Johnson,Buffalo Bills,2020
CB,EJ Gaines,26,76,#90 CB,"5'10""",190,28,2/22/92,6,2014,6,188,Missouri,E.Gaines,Buffalo Bills,2020
CB,Josh Norman,0,75,#115 CB,"6'0""",190,32,12/14/87,9,2012,5,143,Coastal Carolina,J.Norman,Buffalo Bills,2020
CB,Cameron Lewis,47,68,#302 CB,"5'9""",186,23,4/12/97,1,2019,,,Buffalo,C.Lewis,Buffalo Bills,2020
CB,Dane Jackson,30,67,#386 CB,"6'0""",187,23,11/28/96,0,2020,7,239,Pittsburgh,D.Jackson,Buffalo Bills,2020
CB,Isaiah Brown,,67,#386 CB,"6'1""",185,,,0,2020,,,Florida International,I.Brown,Buffalo Bills,2020
SS,Jaquan Johnson,46,76,#36 SS,"5'10""",191,24,11/12/95,2,2019,6,181,Miami (Fla.),J.Johnson,Buffalo Bills,2020
SS,Siran Neal,33,69,#85 SS,"6'0""",206,25,8/3/94,3,2018,5,154,Jacksonville State,S.Neal,Buffalo Bills,2020
SS,Josh Thomas,36,67,#141 SS,"6'0""",205,23,11/18/96,0,2020,5,143,Appalachian State,J.Thomas,Buffalo Bills,2020
FS,Mike Bell,,67,#136 FS,"6'3""",210,,,0,2020,,,Fresno State,M.Bell,Buffalo Bills,2020
FS,Garrett Taylor,37,67,#136 FS,"6'1""",203,23,11/6/96,0,2020,,,Penn State,G.Taylor,Buffalo Bills,2020
FS,Dean Marlowe,31,67,#136 FS,"6'1""",203,27,7/24/92,4,2015,,,James Madison,D.Marlowe,Buffalo Bills,2020
LS,Reid Ferguson,69,,,"6'1""",243,26,3/23/94,4,2016,,,LSU,R.Ferguson,Buffalo Bills,2020
P,Corey Bojorquez,9,74,#30 P,"6'0""",200,23,9/12/96,3,2018,,,New Mexico,C.Bojorquez,Buffalo Bills,2020
PK,Stephen Hauschka,4,76,#20 PK,"6'4""",210,34,6/28/85,13,2008,,,North Carolina State,S.Hauschka,Buffalo Bills,2020
PK,Kaare Vedvik,0,68,#64 PK,"6'4""",209,26,3/15/94,1,2018,,,Marshall,K.Vedvik,Buffalo Bills,2020
PK,Tyler Bass,2,67,#76 PK,"5'10""",185,23,2/13/97,0,2020,6,188,Georgia Southern,T.Bass,Buffalo Bills,2020
QB,Josh Allen,17,79,#22 QB,"6'5""",237,24,5/21/96,3,2018,1,7,Wyoming,J.Allen,Buffalo Bills,2019
QB,Davis Webb,7,75,#32 QB,"6'5""",229,25,1/21/95,3,2017,3,87,California,D.Webb,Buffalo Bills,2019
QB,Jake Fromm,10,67,#120 QB,"6'2""",219,21,7/29/98,0,2020,5,167,Georgia,J.Fromm,Buffalo Bills,2019
QB,Matt Barkley,5,67,#120 QB,"6'2""",227,29,9/7/90,8,2013,4,98,USC,M.Barkley,Buffalo Bills,2019
RB,Devin Singletary,26,81,#44 RB,"5'7""",203,22,9/2/97,2,2019,3,74,Florida Atlantic,D.Singletary,Buffalo Bills,2019
RB,TJ Yeldon,22,77,#73 RB,"6'1""",226,26,10/1/93,6,2015,2,36,Alabama,T.Yeldon,Buffalo Bills,2019
RB,Taiwan Jones,34,71,#170 RB,"6'0""",194,31,7/25/88,10,2011,4,125,Eastern Washington,T.Jones,Buffalo Bills,2019
RB,Christian Wade,45,68,#257 RB,"5'8""",190,29,5/14/91,1,2019,,,No College,C.Wade,Buffalo Bills,2019
RB,Zack Moss,20,67,#304 RB,"5'9""",223,22,12/14/97,0,2020,3,86,Utah,Z.Moss,Buffalo Bills,2019
RB,Reggie Gilliam,41,67,#304 RB,"6'1""",255,,,0,2020,,,Toledo,R.Gilliam,Buffalo Bills,2019
RB,Antonio Williams,35,67,#304 RB,5'10'',215,,,0,2020,,,North Carolina,A.Williams,Buffalo Bills,2019
FB,Patrick DiMarco,42,70,#22 FB,"6'1""",240,31,3/25/89,9,2011,,,South Carolina,P.DiMarco,Buffalo Bills,2019
WR,Stefon Diggs,14,90,#11 WR,"6'0""",195,26,11/28/93,6,2015,5,146,Maryland,S.Diggs,Buffalo Bills,2019
WR,Cole Beasley,10,81,#57 WR,"5'8""",177,31,4/25/89,9,2012,,,Southern Methodist,C.Beasley,Buffalo Bills,2019
WR,John Brown,15,81,#57 WR,"5'10""",179,30,4/2/90,7,2014,3,91,Pittsburg State,J.Brown,Buffalo Bills,2019
WR,Nick Easley,86,74,#160 WR,"5'11""",206,23,1/13/97,1,2019,,,Iowa,N.Easley,Buffalo Bills,2019
WR,Duke Williams,82,74,#160 WR,"6'2""",224,28,5/12/92,2,2016,,,Auburn,D.Williams,Buffalo Bills,2019
WR,Robert Foster,16,72,#229 WR,"6'2""",196,26,5/6/94,3,2018,,,Alabama,R.Foster,Buffalo Bills,2019
WR,Andre Roberts,18,70,#285 WR,"5'11""",195,32,1/8/88,11,2010,3,88,The Citadel,A.Roberts,Buffalo Bills,2019
WR,Isaiah McKenzie,19,69,#309 WR,"5'7""",173,25,4/8/95,4,2017,5,172,Georgia,I.McKenzie,Buffalo Bills,2019
WR,Gabriel Davis,3,67,#556 WR,"6'2""",216,21,3/31/99,0,2020,4,128,UCF,G.Davis,Buffalo Bills,2019
WR,Isaiah Hodgins,87,67,#556 WR,"6'4""",210,21,10/20/98,0,2020,6,207,Oregon State,I.Hodgins,Buffalo Bills,2019
WR,Ray-Ray McCloud,14,67,#556 WR,"5'9""",190,23,10/14/96,3,2018,6,187,Clemson,R.McCloud,Buffalo Bills,2019
TE,Lee Smith,85,79,#35 TE,"6'6""",269,32,11/20/87,10,2011,5,159,Marshall,L.Smith,Buffalo Bills,2019
TE,Dawson Knox,88,77,#57 TE,"6'4""",254,23,11/13/96,2,2019,3,96,Mississippi,D.Knox,Buffalo Bills,2019
TE,Jason Croom,80,75,#80 TE,"6'5""",246,26,2/27/94,3,2017,,,Tennessee,J.Croom,Buffalo Bills,2019
TE,Tommy Sweeney,89,73,#108 TE,"6'4""",251,24,6/30/95,2,2019,7,228,Boston College,T.Sweeney,Buffalo Bills,2019
